free_bikes,name,ll,avg_rating,avg_review,avg_distance,no_of_bars_yelp
21,10th & Cambie,"49.262487,-123.114397",3.73,100.29,891.97,28
9,Yaletown-Roundhouse Station,"49.274566,-123.121817",3.7,98.74,482.66,50
13,Dunsmuir & Beatty,"49.279764,-123.110154",3.88,152.9,569.8,50
2,12th & Yukon (City Hall),"49.260599,-123.113504",3.78,81.73,902.7,30
9,8th & Ash,"49.264215,-123.117772",3.45,138.09,640.18,11
11,Spyglass & Seawall,"49.270877,-123.115103",3.59,104.26,812.56,50
2,Stamps Landing,"49.26893,-123.11813",3.5,107.48,837.12,48
7,Ontario & Seawall,"49.271721,-123.104207",3.8,140.54,849.24,50
20,Canada Place,"49.287214,-123.11287",3.9,173.74,569.07,50
11,Granville & Georgia,"49.282409,-123.118541",3.84,155.1,492.72,50
13,Pender & Burrard,"49.287097,-123.118551",3.85,174.18,538.84,50
20,Marinaside & Davie,"49.273471,-123.118016",3.58,102.12,593.81,50
7,Robson & Hornby,"49.282758,-123.122092",3.8,166.12,510.55,50
21,Cordova & Granville,"49.286042,-123.113176",3.88,172.88,530.39,50
19,Hornby & Pender,"49.28602,-123.116624",3.88,180.58,516.14,50
7,Homer & Robson (Vancouver Public Library),"49.279739,-123.116251",3.85,144.28,527.33,50
3,Beatty & Robson,"49.277483,-123.114279",3.8,119.28,610.4,50
6,Beatty & Nelson,"49.275679,-123.116963",3.73,117.9,598.27,50
9,Abbott & Cordova,"49.282759,-123.106955",3.88,158.96,403.05,50
15,Comox & Denman,"49.288444,-123.139203",3.56,111.47,679.35,36
12,Cordova & Bute,"49.289124,-123.12196",3.83,183.38,635.99,50
3,Hornby & Nelson,"49.28062,-123.12482",3.74,131.42,481.49,50
12,Helmcken & Burrard,"49.279938,-123.127478",3.66,120.64,500.45,50
1,Pacific & Richards,"49.273663,-123.127075",3.67,110.42,626.0,50
2,Chilco & Beach,"49.28972,-123.144028",3.65,100.6,667.2,20
4,Comox & Broughton,"49.285253,-123.134356",3.68,140.64,702.92,50
7,Bute & Comox,"49.283343,-123.131099",3.8,165.06,688.28,50
24,Cambie & Water,"49.284605,-123.108662",3.85,170.9,461.76,50
26,Keefer & Abbott,"49.279821,-123.10802",3.86,152.6,555.79,50
7,Expo & Carrall,"49.278004,-123.105664",3.85,155.76,611.55,50
11,Keefer & Columbia,"49.279342,-123.101822",3.87,137.96,488.85,50
22,Marinaside & Cooperage,"49.273833,-123.114373",3.65,115.74,701.39,50
19,Bidwell & Burnaby,"49.28526,-123.141809",3.63,91.03,709.45,31
13,Robson & Granville,"49.281506,-123.120101",3.82,151.96,488.35,50
6,Expo & Smithe,"49.276115,-123.114496",3.79,130.2,653.86,50
10,Cypress & Cornwall,"49.272827,-123.147744",3.81,117.92,721.79,24
15,Anderson & 2nd,"49.269361,-123.13782",3.68,106.39,799.91,33
12,7th & Granville,"49.2653,-123.13811",3.8,128.23,650.37,22
3,10th & Granville,"49.262598,-123.138921",3.88,112.47,583.16,17
9,14th & Granville,"49.25894,-123.139272",3.77,85.0,559.69,11
5,14th & Cambie,"49.258763,-123.115392",3.8,42.2,762.0,10
14,Ontario & 5th,"49.266724,-123.104824",3.68,92.75,647.39,36
3,10th & Main,"49.262141,-123.101961",3.86,81.34,473.54,32
10,Cypress & 4th,"49.268269,-123.147885",3.8,116.59,692.52,27
25,Vanier Park,"49.275717,-123.142564",3.79,124.34,837.14,29
11,Nelson & Mainland,"49.276436,-123.11877",3.69,115.28,474.43,50
