avg_rating,avg_review,avg_distance,no_of_bars_yelp,ll
3.7,103.89,889.53,27,"49.262487,-123.114397"
3.59,105.7,538.35,50,"49.274566,-123.121817"
3.91,148.94,573.26,50,"49.279764,-123.110154"
3.76,84.45,901.41,29,"49.260599,-123.113504"
3.45,138.09,640.18,11,"49.264215,-123.117772"
3.57,98.46,848.86,50,"49.270877,-123.115103"
3.5,107.48,837.12,48,"49.26893,-123.11813"
3.76,142.82,843.82,50,"49.271721,-123.104207"
3.82,180.48,578.49,50,"49.287214,-123.11287"
3.81,150.04,511.17,50,"49.282409,-123.118541"
3.83,163.7,591.45,50,"49.287097,-123.118551"
3.57,103.72,642.72,50,"49.273471,-123.118016"
3.74,151.8,502.31,50,"49.282758,-123.122092"
3.87,171.82,536.72,50,"49.286042,-123.113176"
3.83,159.78,529.08,50,"49.28602,-123.116624"
3.77,144.94,532.56,50,"49.279739,-123.116251"
3.76,123.42,613.69,50,"49.277483,-123.114279"
3.71,102.32,601.68,50,"49.275679,-123.116963"
3.86,151.58,410.62,50,"49.282759,-123.106955"
3.56,111.53,679.35,36,"49.288444,-123.139203"
3.82,163.72,664.9,50,"49.289124,-123.12196"
3.65,114.44,458.19,50,"49.28062,-123.12482"
3.57,114.66,496.73,50,"49.279938,-123.127478"
3.59,106.06,620.73,50,"49.273663,-123.127075"
3.65,100.65,667.2,20,"49.28972,-123.144028"
3.65,131.82,730.11,50,"49.285253,-123.134356"
3.73,156.62,683.66,50,"49.283343,-123.131099"
3.84,175.38,457.68,50,"49.284605,-123.108662"
3.91,138.66,538.75,50,"49.279821,-123.10802"
3.88,149.26,614.2,50,"49.278004,-123.105664"
3.93,132.72,484.18,50,"49.279342,-123.101822"
3.6,110.64,732.25,50,"49.273833,-123.114373"
3.63,91.06,709.45,31,"49.28526,-123.141809"
3.78,126.74,499.87,50,"49.281506,-123.120101"
3.72,127.7,654.23,50,"49.276115,-123.114496"
3.81,117.92,721.79,24,"49.272827,-123.147744"
3.68,106.39,799.91,33,"49.269361,-123.13782"
3.8,128.23,650.37,22,"49.2653,-123.13811"
3.88,112.47,583.16,17,"49.262598,-123.138921"
3.77,85.0,559.69,11,"49.25894,-123.139272"
3.8,42.2,762.0,10,"49.258763,-123.115392"
3.66,95.31,652.98,35,"49.266724,-123.104824"
3.84,83.87,484.07,31,"49.262141,-123.101961"
3.8,116.59,692.52,27,"49.268269,-123.147885"
3.79,124.34,837.14,29,"49.275717,-123.142564"
3.59,89.36,475.91,50,"49.276436,-123.11877"
3.59,108.16,403.63,50,"49.277844,-123.120942"
3.46,129.08,703.06,12,"49.265089,-123.119425"
3.58,105.78,778.55,50,"49.28026,-123.135244"
3.54,78.17,694.58,24,"49.291909,-123.140713"
3.55,107.14,804.18,28,"49.293257,-123.138563"
3.7,138.84,706.65,50,"49.288011,-123.132006"
3.91,144.1,413.73,50,"49.28117,-123.104419"
3.79,133.02,542.05,50,"49.283227,-123.120523"
3.62,90.0,746.17,8,"49.299292,-123.130281"
3.67,74.67,1090.32,12,"49.29534,-123.150433"
3.67,74.67,931.03,12,"49.294318,-123.148808"
3.5,117.43,903.97,7,"49.298657,-123.121176"
3.7,62.2,470.36,5,"49.259183,-123.120126"
3.73,104.71,612.18,35,"49.263837,-123.105173"
3.81,116.78,686.33,27,"49.270721,-123.146175"
3.89,82.26,782.3,23,"49.265605,-123.152566"
3.88,83.0,709.47,21,"49.267222,-123.153157"
3.7,101.73,935.92,15,"49.262255,-123.126217"
3.85,77.2,1037.05,10,"49.257654,-123.153212"
3.73,77.23,772.81,13,"49.25919,-123.148268"
3.73,75.09,871.38,11,"49.25741,-123.148531"
3.82,148.62,554.86,50,"49.285953,-123.124066"
3.62,133.42,609.98,50,"49.280881,-123.130672"
3.7,62.2,615.94,5,"49.256845,-123.120071"
3.8,87.12,701.09,33,"49.25849,-123.104799"
3.81,81.53,626.85,32,"49.258425,-123.100792"
3.59,102.98,793.48,50,"49.270905,-123.126006"
3.57,118.52,688.35,50,"49.273568,-123.129935"
3.58,106.62,419.46,50,"49.277141,-123.122589"
3.81,117.14,696.23,29,"49.267859,-123.145782"
3.79,117.11,718.66,28,"49.265336,-123.145823"
3.62,112.12,930.41,43,"49.267628,-123.127698"
3.8,132.87,863.99,23,"49.275938,-123.145939"
3.9,130.6,727.92,50,"49.2756,-123.102661"
3.91,142.66,505.79,50,"49.284157,-123.099917"
3.85,72.77,946.59,13,"49.258924,-123.152591"
3.77,118.96,623.38,24,"49.266774,-123.141135"
3.96,85.85,579.59,13,"49.273355,-123.154493"
3.91,88.27,663.98,11,"49.276144,-123.151272"
3.85,77.59,678.43,17,"49.268339,-123.157443"
3.88,118.64,645.74,50,"49.284062,-123.095097"
3.69,96.56,882.61,16,"49.261742,-123.13148"
3.74,91.62,745.37,34,"49.262206,-123.109091"
