no of bars,ll
50,"49.262487,-123.114397"
50,"49.274566,-123.121817"
50,"49.279764,-123.110154"
50,"49.260599,-123.113504"
50,"49.264215,-123.117772"
50,"49.270877,-123.115103"
50,"49.26893,-123.11813"
50,"49.271721,-123.104207"
50,"49.287214,-123.11287"
50,"49.282409,-123.118541"
50,"49.287097,-123.118551"
50,"49.273471,-123.118016"
50,"49.282758,-123.122092"
50,"49.286042,-123.113176"
50,"49.28602,-123.116624"
50,"49.279739,-123.116251"
50,"49.277483,-123.114279"
50,"49.275679,-123.116963"
50,"49.282759,-123.106955"
50,"49.288444,-123.139203"
50,"49.289124,-123.12196"
50,"49.28062,-123.12482"
50,"49.279938,-123.127478"
50,"49.273663,-123.127075"
50,"49.28972,-123.144028"
50,"49.285253,-123.134356"
50,"49.283343,-123.131099"
50,"49.284605,-123.108662"
50,"49.279821,-123.10802"
50,"49.278004,-123.105664"
50,"49.279342,-123.101822"
50,"49.273833,-123.114373"
50,"49.28526,-123.141809"
50,"49.281506,-123.120101"
50,"49.276115,-123.114496"
50,"49.272827,-123.147744"
50,"49.269361,-123.13782"
50,"49.2653,-123.13811"
50,"49.262598,-123.138921"
50,"49.25894,-123.139272"
50,"49.258763,-123.115392"
50,"49.266724,-123.104824"
50,"49.262141,-123.101961"
50,"49.268269,-123.147885"
50,"49.275717,-123.142564"
50,"49.276436,-123.11877"
50,"49.277844,-123.120942"
50,"49.265089,-123.119425"
50,"49.28026,-123.135244"
50,"49.291909,-123.140713"
50,"49.293257,-123.138563"
50,"49.288011,-123.132006"
50,"49.28117,-123.104419"
50,"49.283227,-123.120523"
16,"49.299292,-123.130281"
4,"49.29534,-123.150433"
30,"49.294318,-123.148808"
6,"49.298657,-123.121176"
50,"49.259183,-123.120126"
50,"49.263837,-123.105173"
50,"49.270721,-123.146175"
50,"49.265605,-123.152566"
50,"49.267222,-123.153157"
50,"49.262255,-123.126217"
23,"49.257654,-123.153212"
47,"49.25919,-123.148268"
46,"49.25741,-123.148531"
50,"49.285953,-123.124066"
50,"49.280881,-123.130672"
50,"49.256845,-123.120071"
50,"49.25849,-123.104799"
50,"49.258425,-123.100792"
50,"49.270905,-123.126006"
50,"49.273568,-123.129935"
50,"49.277141,-123.122589"
50,"49.267859,-123.145782"
50,"49.265336,-123.145823"
50,"49.267628,-123.127698"
50,"49.275938,-123.145939"
50,"49.2756,-123.102661"
50,"49.284157,-123.099917"
34,"49.258924,-123.152591"
50,"49.266774,-123.141135"
50,"49.273355,-123.154493"
50,"49.276144,-123.151272"
50,"49.268339,-123.157443"
50,"49.284062,-123.095097"
50,"49.261742,-123.13148"
50,"49.262206,-123.109091"
50,"49.27023,-123.10651"
50,"49.262062,-123.104656"
50,"49.27033,-123.10275"
50,"49.258902,-123.109596"
50,"49.282224,-123.132778"
50,"49.265071,-123.123864"
50,"49.265198,-123.131043"
50,"49.273691,-123.102232"
50,"49.2685027,-123.0975014"
50,"49.278529,-123.100017"
50,"49.288682,-123.11818"
50,"49.258864,-123.14353"
50,"49.271741,-123.155421"
50,"49.262822,-123.14338"
50,"49.263635,-123.099236"
50,"49.28763,-123.127245"
29,"49.297933,-123.130758"
50,"49.258819,-123.131317"
50,"49.280284,-123.097052"
50,"49.276294,-123.106534"
39,"49.277469,-123.081315"
50,"49.277665,-123.073653"
50,"49.277436,-123.070427"
50,"49.280332,-123.070068"
50,"49.279369,-123.091241"
50,"49.283992,-123.091206"
50,"49.274881,-123.069323"
50,"49.275882,-123.071865"
50,"49.273777,-123.092723"
39,"49.265005,-123.079481"
34,"49.265024,-123.08127"
50,"49.271377,-123.069416"
50,"49.268616,-123.069908"
49,"49.266969,-123.069936"
42,"49.263242,-123.070521"
26,"49.261403,-123.070102"
28,"49.261263,-123.073707"
26,"49.262242,-123.081459"
50,"49.262321,-123.09306"
44,"49.264251,-123.073853"
50,"49.266751,-123.073501"
50,"49.270684,-123.073562"
50,"49.2731,-123.0732"
50,"49.254667,-123.101389"
50,"49.256694,-123.096579"
50,"49.258352,-123.096337"
50,"49.258817,-123.092797"
50,"49.26151,-123.089413"
50,"49.263382,-123.088837"
25,"49.261353,-123.085333"
21,"49.264466,-123.085183"
50,"49.280197,-123.065859"
48,"49.266725,-123.065925"
24,"49.261188,-123.066009"
13,"49.256857,-123.065646"
35,"49.283986,-123.065264"
24,"49.257985,-123.083366"
50,"49.257939,-123.089531"
17,"49.256496,-123.075426"
34,"49.283236,-123.070443"
50,"49.267266,-123.090786"
50,"49.265242,-123.095577"
50,"49.265213,-123.090785"
0,"49.302577,-123.155616"
50,"49.277595,-123.09583"
50,"49.279235,-123.087528"
50,"49.277333,-123.087359"
50,"49.273103,-123.069892"
50,"49.261973,-123.09725"
50,"49.275295,-123.132585"
50,"49.285871,-123.12105"
50,"49.284893,-123.128685"
50,"49.263962,-123.112621"
50,"49.277615,-123.091654"
50,"49.282214,-123.114101"
50,"49.266456,-123.100324"
50,"49.268216,-123.103168"
50,"49.284554,-123.111031"
50,"49.280216,-123.117639"
50,"49.266314,-123.116011"
46,"49.280852,-123.084746"
50,"49.285512,-123.1384"
50,"49.27821,-123.136972"
50,"49.281301,-123.139108"
50,"49.283298,-123.142288"
50,"49.280787,-123.115271"
50,"49.266476,-123.109389"
50,"49.290587,-123.13625"
0,"49.312568,-123.144177"
50,"49.262835,-123.152626"
50,"49.256825,-123.105234"
50,"49.275683,-123.124388"
50,"49.263518,-123.09568"
50,"49.28691,-123.128818"
50,"49.282503,-123.124697"
50,"49.283749,-123.136133"
50,"49.262944,-123.148109"
50,"49.27029,-123.135025"
43,"49.280427,-123.074082"
50,"49.279259,-123.119145"
50,"49.285836,-123.127265"
32,"49.272969,-123.164325"
23,"49.27247,-123.185643"
47,"49.271471,-123.17731"
50,"49.290112,-123.127062"
50,"49.263523,-123.155267"
50,"49.264928,-123.168068"
50,"49.264483,-123.173926"
48,"49.264579,-123.18373"
41,"49.263746,-123.069892"
50,"49.258761,-123.127071"
29,"49.268974,-123.190701"
50,"49.273011,-123.159663"
50,"49.266924,-123.173849"
50,"49.264326,-123.164725"
48,"49.266636,-123.183661"
37,"49.254818,-123.114785"
50,"49.268837,-123.177633"
40,"49.255034,-123.120226"
41,"49.271044,-123.170661"
50,"49.252691,-123.101289"
50,"49.272172,-123.097978"
21,"49.271082,-123.191458"
50,"49.27808,-123.130557"
50,"49.269969,-123.109623"
50,"49.287528,-123.142139"
50,"49.28803,-123.142135"
50,"49.259579,-123.114769"
50,"49.2890705989865,-123.138407369468"
50,"49.287782,-123.12395"
50,"49.28512,-123.11242"
1,"49.247854,-123.153422"
50,"49.265939,-123.1129"
50,"49.261122,-123.097571"
50,"49.267725,-123.11311"
3,"49.245135,-123.116098"
50,"49.274232,-123.129998"
20,"49.238105,-123.154966"
4,"49.246243,-123.124373"
41,"49.249722,-123.104991"
19,"49.243375,-123.104978"
24,"49.282087,-123.056909"
28,"49.283968,-123.061615"
20,"49.287464,-123.060771"
25,"49.285575,-123.061575"
15,"49.251358,-123.115637"
15,"49.249184,-123.116141"
4,"49.245535,-123.120496"
50,"49.289255,-123.132677"
11,"49.252656,-123.067965"
50,"49.277527,-123.129464"
50,"49.259469,-123.145718"
